,precision,recall,f1-score,support
blues,0.5144927536231884,0.355,0.42011834319526625,200.0
classical,0.912621359223301,0.94,0.9261083743842364,200.0
country,0.4349593495934959,0.535,0.4798206278026906,200.0
disco,0.5299145299145299,0.62,0.5714285714285714,200.0
hiphop,0.35036496350364965,0.24,0.28486646884273,200.0
jazz,0.6206896551724138,0.54,0.5775401069518716,200.0
metal,0.5299539170506913,0.575,0.5515587529976019,200.0
pop,0.8238636363636364,0.725,0.7712765957446809,200.0
reggae,0.3487179487179487,0.34,0.34430379746835443,200.0
rock,0.33212996389891697,0.46,0.3857442348008386,200.0
accuracy,0.533,0.533,0.533,0.533
macro avg,0.5397708077061771,0.533,0.5312765873616841,2000.0
weighted avg,0.5397708077061771,0.533,0.5312765873616843,2000.0
